epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4266.62,1.37961,1.45966,1.60342,0.41761,0.28859,0.28172,0.1028,2.30229,2.29602,2.55372,0.0011882,0.0011882,0.0011882
43,4369.15,1.37881,1.41519,1.59832,0.33152,0.4698,0.33207,0.15338,2.03882,1.93946,2.27098,0.0011684,0.0011684,0.0011684
44,4468.2,1.37106,1.40634,1.59563,0.41298,0.44383,0.36735,0.15204,2.0062,1.86062,2.17553,0.0011486,0.0011486,0.0011486
45,4569.56,1.36021,1.3862,1.56803,0.46886,0.39694,0.38236,0.16266,2.09138,1.85948,2.29905,0.0011288,0.0011288,0.0011288
46,4671.49,1.34329,1.34077,1.5663,0.43062,0.45683,0.37356,0.14938,2.21699,1.96461,2.43716,0.001109,0.001109,0.001109
47,4768.38,1.34025,1.32445,1.56018,0.40048,0.56041,0.40555,0.17934,2.00966,1.79498,2.21398,0.0010892,0.0010892,0.0010892
48,4869.93,1.31992,1.29744,1.55549,0.44201,0.51007,0.38073,0.15974,2.08797,1.74684,2.30949,0.0010694,0.0010694,0.0010694
49,4970.54,1.31842,1.27811,1.55106,0.38458,0.4236,0.33472,0.14563,2.21638,2.03438,2.45044,0.0010496,0.0010496,0.0010496
50,5068.6,1.30497,1.26678,1.5368,0.46843,0.48993,0.41822,0.18401,2.07632,1.81556,2.27188,0.0010298,0.0010298,0.0010298
51,5173.52,1.29753,1.22508,1.52629,0.42288,0.56376,0.42932,0.18632,2.06069,1.77536,2.29941,0.00101,0.00101,0.00101
52,5276.88,1.27943,1.20439,1.50475,0.4359,0.44295,0.39815,0.15653,2.11637,1.76772,2.31461,0.0009902,0.0009902,0.0009902
53,5378.71,1.2724,1.19671,1.50889,0.47946,0.5302,0.43576,0.17079,2.12309,1.82902,2.32185,0.0009704,0.0009704,0.0009704
54,5481.32,1.27816,1.18661,1.49921,0.42652,0.48322,0.39714,0.16562,2.20131,1.84237,2.43479,0.0009506,0.0009506,0.0009506
55,5578.15,1.27024,1.19619,1.50159,0.36542,0.53691,0.38576,0.15468,2.12404,1.94732,2.33829,0.0009308,0.0009308,0.0009308
56,5678.89,1.2699,1.15757,1.49554,0.47326,0.55705,0.45182,0.1908,2.05272,1.70358,2.21707,0.000911,0.000911,0.000911
57,5780.93,1.23743,1.13651,1.4706,0.40783,0.5223,0.37863,0.15569,2.1523,1.87047,2.37758,0.0008912,0.0008912,0.0008912
58,5880.28,1.23876,1.13252,1.48017,0.36452,0.48322,0.38871,0.15299,2.15836,1.79915,2.44727,0.0008714,0.0008714,0.0008714
59,5976.75,1.24148,1.12483,1.47495,0.44887,0.47651,0.41528,0.17178,2.22296,1.86622,2.48691,0.0008516,0.0008516,0.0008516
60,6078.45,1.23292,1.09686,1.46985,0.41063,0.47651,0.39541,0.16219,2.27412,1.8871,2.53574,0.0008318,0.0008318,0.0008318
61,6179.21,1.21675,1.03897,1.45514,0.47919,0.47651,0.42951,0.18322,2.18188,1.77769,2.35838,0.000812,0.000812,0.000812
62,6279.54,1.20224,1.05391,1.44086,0.44267,0.46309,0.36779,0.16207,2.13406,1.89558,2.3418,0.0007922,0.0007922,0.0007922
63,6382.17,1.18707,1.01416,1.42918,0.44391,0.46309,0.39845,0.17052,2.21979,1.91826,2.42278,0.0007724,0.0007724,0.0007724
64,6484.66,1.17827,1.00662,1.42478,0.40071,0.51007,0.40192,0.17005,2.14546,1.9668,2.42159,0.0007526,0.0007526,0.0007526
65,6587.2,1.17827,0.98705,1.40913,0.44093,0.51007,0.4193,0.18557,2.12878,1.85867,2.33464,0.0007328,0.0007328,0.0007328
66,6689.11,1.17041,0.9941,1.4032,0.48504,0.46148,0.44116,0.17663,2.25474,1.8393,2.53367,0.000713,0.000713,0.000713
67,6789.51,1.16164,0.99467,1.40813,0.42278,0.48322,0.3964,0.17645,2.22024,1.84267,2.51831,0.0006932,0.0006932,0.0006932
68,6891.91,1.16821,0.98098,1.40449,0.44929,0.51469,0.39157,0.16878,2.1384,1.9321,2.38007,0.0006734,0.0006734,0.0006734
69,6988.55,1.14538,0.95706,1.39702,0.45462,0.44295,0.41446,0.17473,2.2379,1.92485,2.45803,0.0006536,0.0006536,0.0006536
70,7088.57,1.13472,0.95235,1.38273,0.39726,0.46889,0.38023,0.14907,2.27077,1.99503,2.53121,0.0006338,0.0006338,0.0006338
71,7191.29,1.12316,0.9313,1.37168,0.47988,0.48322,0.42036,0.15314,2.31697,1.8549,2.60527,0.000614,0.000614,0.000614
