epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2071.32,1.17457,1.14927,1.3682,0.37072,0.46309,0.35255,0.16669,1.89291,1.99014,2.10907,0.0011882,0.0011882,0.0011882
43,2120.24,1.15994,1.13805,1.35786,0.49832,0.44295,0.43214,0.20173,1.87347,1.84647,2.07682,0.0011684,0.0011684,0.0011684
44,2169.66,1.15259,1.12707,1.35059,0.44418,0.48993,0.39841,0.1926,1.88186,1.8949,2.13698,0.0011486,0.0011486,0.0011486
45,2218.95,1.14542,1.12321,1.34351,0.44624,0.48993,0.40558,0.17437,1.88377,1.85786,2.13679,0.0011288,0.0011288,0.0011288
46,2266.95,1.12764,1.07387,1.32742,0.4521,0.45638,0.38919,0.1744,1.9649,1.93778,2.2064,0.001109,0.001109,0.001109
47,2315.51,1.10858,1.06691,1.31751,0.42449,0.49664,0.39557,0.17557,1.86887,1.92573,2.15243,0.0010892,0.0010892,0.0010892
48,2363.9,1.0872,1.0335,1.30749,0.52971,0.4698,0.42219,0.18503,1.9889,1.99755,2.27557,0.0010694,0.0010694,0.0010694
49,2411.08,1.08904,1.01682,1.29853,0.42837,0.44762,0.31755,0.13891,2.02776,2.08079,2.29292,0.0010496,0.0010496,0.0010496
50,2460.35,1.09093,1.02581,1.29418,0.45567,0.49664,0.38695,0.17597,1.84367,1.96191,2.13921,0.0010298,0.0010298,0.0010298
51,2509.36,1.09209,1.01416,1.29724,0.49807,0.50336,0.43176,0.2041,1.89375,1.90605,2.10701,0.00101,0.00101,0.00101
52,2558.08,1.04721,0.96508,1.26951,0.4013,0.45638,0.3855,0.17948,1.90724,2.11413,2.16831,0.0009902,0.0009902,0.0009902
53,2605.94,1.04304,0.97848,1.27196,0.50547,0.44295,0.39441,0.19982,1.85421,1.94716,2.14641,0.0009704,0.0009704,0.0009704
54,2654.25,1.046,0.95322,1.27393,0.5525,0.42282,0.41516,0.19448,1.87237,1.91494,2.09654,0.0009506,0.0009506,0.0009506
55,2702.23,1.0553,0.97966,1.27779,0.50545,0.39597,0.39232,0.19165,1.85281,2.00503,2.12455,0.0009308,0.0009308,0.0009308
56,2749.05,1.02665,0.92827,1.26066,0.4368,0.50491,0.40001,0.19437,1.94006,2.02501,2.22643,0.000911,0.000911,0.000911
57,2797.43,1.00543,0.92135,1.23764,0.51206,0.44966,0.40875,0.18909,1.94141,2.04793,2.21008,0.0008912,0.0008912,0.0008912
58,2845.89,1.03105,0.93982,1.26002,0.4825,0.42282,0.41114,0.18896,1.8931,2.00937,2.17231,0.0008714,0.0008714,0.0008714
59,2892.98,1.01382,0.9009,1.24531,0.42308,0.4698,0.39804,0.17552,1.95463,2.07653,2.28617,0.0008516,0.0008516,0.0008516
60,2940.47,0.99179,0.8892,1.24039,0.49855,0.44966,0.36839,0.1728,2.01212,2.00858,2.29211,0.0008318,0.0008318,0.0008318
61,2988.91,0.97579,0.85706,1.2225,0.55182,0.42953,0.43454,0.20049,1.96347,1.8817,2.25161,0.000812,0.000812,0.000812
62,3037.16,0.98618,0.86789,1.22524,0.51768,0.45638,0.42582,0.20507,1.91049,1.91919,2.18352,0.0007922,0.0007922,0.0007922
63,3085.33,0.96461,0.84434,1.21145,0.52114,0.44295,0.41373,0.1833,2.00685,1.97774,2.25865,0.0007724,0.0007724,0.0007724
